"","recipient_city","Primary_Type","Payment","date","year","Number_of_Payments","Payment_Form","Payment_Nature","Third_Party_Payment"
"626","SIOUX FALLS","Medical Doctor",6600,2018-01-12,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"627","SIOUX FALLS","Medical Doctor",6987.5,2018-01-12,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"781","Sioux Falls","Medical Doctor",3700,2018-01-17,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"792","PIERRE","Medical Doctor",2700,2018-01-17,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"814","Rapid City","",1000,2018-01-17,"2018",1,"Cash or cash equivalent","Education","No Third Party Payment"
"888","Sioux Falls","Doctor of Optometry",35000,2018-01-18,"2018",1,"Cash or cash equivalent","Grant","Entity"
"891","SIOUX FALLS","Medical Doctor",3125,2018-01-18,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"937","SIOUX FALLS","Medical Doctor",3300,2018-01-18,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"985","SIOUX FALLS","Medical Doctor",2500,2018-01-19,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1038","SIOUX FALLS","Medical Doctor",1235,2018-01-19,"2018",1,"In-kind items and services","Education","No Third Party Payment"
"1072","SIOUX FALLS","Medical Doctor",2150,2018-01-22,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1104","SIOUX FALLS","Doctor of Osteopathy",2000,2018-01-23,"2018",1,"Cash or cash equivalent","Consulting Fee","Entity"
"1205","SIOUX FALLS","Medical Doctor",1500,2018-01-24,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1262","SIOUX FALLS","Medical Doctor",1800,2018-01-24,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1291","Sioux Falls","Medical Doctor",2000,2018-01-25,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1300","RAPID CITY","",1000,2018-01-25,"2018",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"1369","SIOUX FALLS","Medical Doctor",1180,2018-01-26,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"1372","SIOUX FALLS","Doctor of Osteopathy",2340,2018-01-26,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1378","SIOUX FALLS","Medical Doctor",2000,2018-01-26,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"1399","SIOUX FALLS","Medical Doctor",1500,2018-01-27,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1421","PIERRE","Medical Doctor",2700,2018-01-29,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1475","SIOUX FALLS","Medical Doctor",1650,2018-01-29,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1511","Watertown","Medical Doctor",3000,2018-01-30,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1514","HOUSTON","Medical Doctor",74541.52,2018-01-30,"2018",1,"Cash or cash equivalent","Consulting Fee","Entity"
"1523","Sioux Falls","Medical Doctor",2000,2018-01-30,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1525","HOUSTON","Medical Doctor",2837.96,2018-01-30,"2018",1,"Cash or cash equivalent","Consulting Fee","Entity"
"1543","HOUSTON","Medical Doctor",5265.02,2018-01-30,"2018",1,"Cash or cash equivalent","Consulting Fee","Entity"
"1585","SIOUX FALLS","Medical Doctor",1600,2018-01-31,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1599","SIOUX FALLS","Medical Doctor",3938,2018-01-31,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1605","SIOUX FALLS","Medical Doctor",3938,2018-01-31,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1617","SIOUX FALLS","Medical Doctor",2774.4,2018-01-31,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"1672","Rapid City","Medical Doctor",1122.21,2018-02-01,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"1682","SIOUX FALLS","Medical Doctor",14812.5,2018-02-01,"2018",1,"Cash or cash equivalent","Education","No Third Party Payment"
"1704","SIOUX FALLS","Medical Doctor",2100,2018-02-01,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1791","EDINA","Medical Doctor",2200,2018-02-02,"2018",1,"Cash or cash equivalent","Consulting Fee","Entity"
"1826","SIOUX FALLS","Medical Doctor",2450,2018-02-02,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1881","SIOUX FALLS","Medical Doctor",3500,2018-02-05,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1890","SIOUX FALLS","Medical Doctor",2350,2018-02-05,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1909","Sioux Falls","Medical Doctor",7030,2018-02-06,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1923","SIOUX FALLS","Medical Doctor",1650,2018-02-06,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1950","SIOUX FALLS","Medical Doctor",1604.63,2018-02-06,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"1967","SIOUX FALLS","Medical Doctor",1600,2018-02-07,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"1982","SIOUX FALLS","Medical Doctor",2150,2018-02-07,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2002","SIOUX FALLS","Medical Doctor",1600,2018-02-07,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2026","SIOUX FALLS","Medical Doctor",2100,2018-02-07,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2030","SIOUX FALLS","Medical Doctor",1888,2018-02-08,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2050","SIOUX FALLS","Medical Doctor",9860.6,2018-02-08,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"2051","SIOUX FALLS","Medical Doctor",5168,2018-02-08,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2056","SIOUX FALLS","Medical Doctor",1414.4,2018-02-08,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"2100","SIOUX FALLS","Medical Doctor",1750,2018-02-08,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"2102","SIOUX FALLS","Medical Doctor",5168,2018-02-08,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2170","Sioux Falls","Medical Doctor",1480,2018-02-09,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"2181","Sioux Falls","Medical Doctor",2400,2018-02-11,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2182","SIOUX FALLS","Medical Doctor",7718.75,2018-02-12,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"2185","SIOUX FALLS","Medical Doctor",1500,2018-02-12,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2188","SIOUX FALLS","Medical Doctor",4275,2018-02-12,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"2221","SIOUX FALLS","Medical Doctor",1800,2018-02-12,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2323","RAPID CITY","Doctor of Osteopathy",1357.64,2018-02-13,"2018",6,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"2409","SIOUX FALLS","",20000,2018-02-14,"2018",1,"Cash or cash equivalent","Grant","No Third Party Payment"
"2432","RAPID CITY","Medical Doctor",5390.57,2018-02-15,"2018",1,"Cash or cash equivalent","Royalty or License","No Third Party Payment"
"2465","SIOUX FALLS","Medical Doctor",2100,2018-02-15,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2470","DAKOTA DUNES","Medical Doctor",10612.1,2018-02-15,"2018",1,"Cash or cash equivalent","Royalty or License","Entity"
"2479","Sioux Falls","",1500,2018-02-15,"2018",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"2492","SIOUX FALLS","Medical Doctor",3000,2018-02-15,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2524","PIERRE","Medical Doctor",1100,2018-02-15,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2525","SIOUX FALLS","Medical Doctor",2150,2018-02-15,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2526","SIOUX FALLS","Medical Doctor",1400,2018-02-15,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"2574","SIOUX FALLS","Medical Doctor",3000,2018-02-16,"2018",1,"In-kind items and services","Education","No Third Party Payment"
"2592","SIOUX FALLS","Medical Doctor",3750,2018-02-16,"2018",1,"Cash or cash equivalent","Education","No Third Party Payment"
"2613","DAKOTA DUNES","Medical Doctor",1169,2018-02-17,"2018",1,"In-kind items and services","Education","No Third Party Payment"
"2634","RAPID CITY","Medical Doctor",73165.42,2018-02-19,"2018",1,"Cash or cash equivalent","Royalty or License","No Third Party Payment"
"2657","SIOUX FALLS","Medical Doctor",1977.5,2018-02-20,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2668","RAPID CITY","Medical Doctor",1000,2018-02-20,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2725","SIOUX FALLS","Medical Doctor",2502.4,2018-02-21,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"2738","SIOUX FALLS","Medical Doctor",3938,2018-02-21,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2740","SIOUX FALLS","Medical Doctor",3938,2018-02-21,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2761","Rapid City","",1000,2018-02-21,"2018",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"2795","SIOUX FALLS","Medical Doctor",1888,2018-02-21,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2801","SIOUX FALLS","Medical Doctor",5850,2018-02-21,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2849","RAPID CITY","Medical Doctor",1911.3,2018-02-22,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"2907","SIOUX FALLS","Doctor of Podiatric Medicine",1194,2018-02-23,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"2943","RAPID CITY","Medical Doctor",170132.08,2018-02-23,"2018",1,"Cash or cash equivalent","Royalty or License","No Third Party Payment"
"2958","SIOUX FALLS","Medical Doctor",3000,2018-02-23,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"2974","Sioux Falls","Medical Doctor",1500,2018-02-26,"2018",1,"Cash or cash equivalent","Honoraria","No Third Party Payment"
"2999","SIOUX FALLS","Medical Doctor",1750,2018-02-26,"2018",1,"In-kind items and services","Consulting Fee","Individual"
"3013","Sioux Falls","Medical Doctor",2000,2018-02-26,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3018","RAPID CITY","Doctor of Osteopathy",1000,2018-02-26,"2018",1,"In-kind items and services","Education","No Third Party Payment"
"3019","RAPID CITY","Medical Doctor",13222.58,2018-02-26,"2018",1,"Cash or cash equivalent","Royalty or License","No Third Party Payment"
"3114","SIOUX FALLS","Medical Doctor",1267.46,2018-02-27,"2018",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"3137","SIOUX FALLS","Medical Doctor",5134.94,2018-02-27,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"3151","SIOUX FALLS","Doctor of Osteopathy",2750,2018-02-28,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3171","SIOUX FALLS","Medical Doctor",2100,2018-02-28,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3256","SIOUX FALLS","Medical Doctor",1600,2018-02-28,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3266","SIOUX FALLS","Doctor of Osteopathy",2750,2018-02-28,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3307","SIOUX FALLS","Medical Doctor",3000,2018-03-01,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3317","Sioux Falls","Medical Doctor",2220,2018-03-01,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"3325","SIOUX FALLS","Medical Doctor",4800,2018-03-01,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"3334","SIOUX FALLS","Medical Doctor",2158,2018-03-01,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3374","RAPID CITY","Medical Doctor",2000,2018-03-02,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3387","SIOUX FALLS","Medical Doctor",1000,2018-03-02,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"3390","SIOUX FALLS","Medical Doctor",25000,2018-03-02,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"3392","RAPID CITY","Medical Doctor",2000,2018-03-02,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3396","SIOUX FALLS","Doctor of Osteopathy",1375,2018-03-02,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3465","RAPID CITY","Medical Doctor",2400,2018-03-05,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3536","Rapid City","Medical Doctor",2672,2018-03-06,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"3564","SIOUX FALLS","Medical Doctor",5535,2018-03-06,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3565","SIOUX FALLS","Medical Doctor",1888,2018-03-07,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3572","SIOUX FALLS","Medical Doctor",3938,2018-03-07,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3578","SIOUX FALLS","Medical Doctor",3938,2018-03-07,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3598","SIOUX FALLS","Medical Doctor",2100,2018-03-07,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3621","SIOUX FALLS","Medical Doctor",1650,2018-03-07,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3634","SIOUX FALLS","Medical Doctor",1880.4,2018-03-07,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"3635","SIOUX FALLS","Medical Doctor",2565,2018-03-07,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3674","SIOUX FALLS","Medical Doctor",1977.5,2018-03-08,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3684","SIOUX FALLS","Medical Doctor",3850,2018-03-08,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3709","SIOUX FALLS","Medical Doctor",2150,2018-03-08,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3710","HURON","Medical Doctor",2500,2018-03-08,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"3719","SIOUX FALLS","Medical Doctor",2100,2018-03-08,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3731","SIOUX FALLS","Medical Doctor",2100,2018-03-08,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3744","SIOUX FALLS","Medical Doctor",3000,2018-03-09,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3748","SIOUX FALLS","Medical Doctor",1600,2018-03-09,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3754","SIOUX FALLS","Medical Doctor",2800,2018-03-09,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3764","SIOUX FALLS","Medical Doctor",2300,2018-03-09,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3774","SIOUX FALLS","Medical Doctor",1600,2018-03-09,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3790","SIOUX FALLS","Medical Doctor",2800,2018-03-09,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3791","RAPID CITY","Medical Doctor",8653.71,2018-03-09,"2018",1,"Cash or cash equivalent","Royalty or License","No Third Party Payment"
"3816","SIOUX FALLS","Medical Doctor",1525.26,2018-03-10,"2018",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"3818","SIOUX FALLS","Medical Doctor",2325.37,2018-03-10,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"3820","SIOUX FALLS","Medical Doctor",3000,2018-03-10,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"3832","SIOUX FALLS","Medical Doctor",2150,2018-03-12,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3850","Sioux Falls","Medical Doctor",2000,2018-03-12,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3874","Sioux Falls","Doctor of Optometry",1500,2018-03-12,"2018",1,"Cash or cash equivalent","Honoraria","No Third Party Payment"
"3876","SIOUX FALLS","Medical Doctor",11212.5,2018-03-12,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"3882","SIOUX FALLS","Medical Doctor",2100,2018-03-12,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3910","SIOUX FALLS","Medical Doctor",1500,2018-03-13,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3928","Rapid City","",1000,2018-03-13,"2018",1,"Cash or cash equivalent","Grant","No Third Party Payment"
"3941","SIOUX FALLS","Medical Doctor",2100,2018-03-13,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3984","SIOUX FALLS","Medical Doctor",1800,2018-03-13,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"3994","SIOUX FALLS","Medical Doctor",2150,2018-03-13,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4058","SIOUX FALLS","Medical Doctor",1800,2018-03-14,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4080","ABERDEEN","Doctor of Osteopathy",3938,2018-03-15,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4086","SIOUX FALLS","Medical Doctor",3500,2018-03-15,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"4090","Harrisburg","Doctor of Dentistry",1136,2018-03-15,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"4091","SIOUX FALLS","Medical Doctor",1995,2018-03-15,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
